Name,Type,Mass(in kg),Link
Sun,Yellow Dwarf Star,1.99E+30,https://images.nationalgeographic.org/image/upload/t_edhub_resource_key_image/v1638882786/EducationHub/photos/sun-blasts-a-m66-flare.jpg
Mars,Rocky Planet,6.39E+23,https://solarsystem.nasa.gov/system/stellar_items/image_files/6_mars.jpg
Jupiter,Gas Giant,1.90E+27,https://solarsystem.nasa.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0FTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d91c8056b0a4c3cd4cf6bcd3f7e6eda669270678/stsci-h-p1936a_1800.jpg
Saturn,Gas Giant,5.68E+26,https://stsci-opo.org/STScI-01H41MM35F0QJZ1FRC1TX9MZVE.png
